header,body
,"p_tamars

2006-01-11Liraz



הכנסת השש-עשרה נוסח לא מתוקן

 מושב שני

פרוטוקול מס' 74

מישיבת ועדת הכנסת

יום שני, י""ג בכסלו תשס""ד, 8.12.2003, שעה 10:00"
סדר היום,"א. קביעת מסגרת דיון להצעות להביע אי-אמון בממשלה.

ב. בקשת היועץ המשפטי לממשלה לנטילת חסינותם של חברי הכנסת מיכאל גורולובסקי ויחיאל

 חזן.

ג. בקשות חברי הכנסת להקדמת הדיון בהצעות חוק הבאות - בקריאה טרומית:

 1. הצעת חוק גדר הביטחון, התשס""ד-2003, של חבר הכנסת מתן וילנאי (פ/1611).

 2. הצעת חוק גדר הביטחון, התשס""ד-2003, של חבר הכנסת דני יתום וקבוצת חברי הכנסת

 (פ/1631).

 3. הצעת חוק שידורי פרסומות, תשדירי שירות ושידורי חסות בגלי צה""ל, התשס""ד-2003, של

 חבר הכנסת אורי אריאל (פ/1632).

נכחו: (בנושא בקשת היועץ המשפטי לממשלה לנטילת חסינותם של חברי הכנסת מיכאל

 גורולובסקי ויחיאל חזן)

 חברי הוועדה: רוני בר-און - היו""ר

 יולי-יואל אדלשטיין

 דליה איציק

 מיכאל איתן

 דניאל בנלולו

 ענבל גבריאלי

 מיכאל גורולובסקי

 זהבה גלאוו

רשף חן

 אחמד טיבי

 דני יתום

 יצחק כהן

 גדעון סער

 חבר הכנסת אהוד יתום - מחליף את חבר הכנסת עמרי שרון

 חבר הכנסת דוד טל - מחליף את חבר הכנסת עמיר פרץ

 חבר הכנסת אליעזר כהן - מחליף את חבר הכנסת יורי שטרן

 מוזמנים: חברת הכנסת רוחמה אברהם

 חבר הכנסת אלי אפללו

 חבר הכנסת מתן וילנאי

 חבר הכנסת אופיר פינס-פז

 רז נזרי - עוזר ליועץ המשפטי לממשלה

 אשר חן - בא כוח חבר הכנסת יחיאל חזן

 אריאלה קלעי - משרד המשפטים

נכחו: (בנושא הקדמת הדיון בהצעות חוק)

 חברי הוועדה: רוני בר-און - היו""ר

 יולי אדלשטיין

 דליה איציק

 דניאל בנלולו

 ענבל גבריאלי

 רשף חן

 אחמד טיבי

 דני יתום

 גדעון סער

 עמרי שרון

 אבשלום וילן - מחליף את חברת הכנסת זהבה גלאון

 אליעזר כהן - מחליף את חבר הכנסת יורי שטרן

 גילה פינקלשטיין-מחליפה את חבר הכנסת שאול יהלום

 מוזמנים: חבר הכנסת אורי אריאל

 חבר הכנסת מתן וילנאי

 ניר רייס - משרד האוצר

 אריאלה קלעי - משרד המשפטים

מזכיר הכנסת: אריה האן

סגן מזכיר הכנסת: דוד לב

סגנית מזכיר הכנסת: רות קפלן

היועצת המשפטית: אנה שניידר

יועצת משפטית: ארבל אסטרחן

מנהלת הוועדה: אתי בן-יוסף

קצרנית: טלי רם

 א. קביעת מסגרת דיון להצעות להביע אי-אמון בממשלה"
"היו""ר רוני בר-און","בוקר טוב. אני מתכבד לפתוח את ישיבה מס' 74 של ועדת הכנסת. מעבר לסדר היום כפי שפורסם, הוגשו כאן היום בקשות להביע אי-אמון בממשלה מטעם סיעות העבודה-מימ""ד, ש""ס, מרצ-חד""ש-תע""ל-בל""ד-רע""ם, בעניינים הבאים: א. מדיניותה החברתית, הכלכלית והמדינית- של העבודה-מימ""ד; ב. מצב שירותי הרווחה ברשויות המקומיות - של ש""ס; ג. המחסור בבניית כיתות לימוד במערכת החינוך בכלל ובמגזר הערבי בפרט וההשלכות מביטול הקבלה לאוניברסיטאות על סמך ציוני הבגרות - של מרצ-חד""ש-תע""ל-בל""ד-רע""ם.

 ההצעות יידונו בישיבת הכנסת ביום שני, י""ג כסליו התשס""ד, 8 בדצמבר 2003, וועדת הכנסת מתבקשת לקבוע מסגרת דיון לנושא זה.

 על-פי מצוות הפרוטוקול, זהו העניין הראשון שבו אנחנו צריכים לדון מעבר לכל נושא שנקבע בסדר היום.

 האם יש איזושהי הסכמה דיונית בין הקואליציה לבין האופוזיציה? גם לא יושבת-ראש סיעת העבודה וגם לא יושב-ראש הקואליציה נמצאים.

 הצעות בבקשה."
זהבה גלאון,"אני מציעה ללכת על ההסדר הקבוע לדיון משולב, כמו שנהגנו לעשות עד כה."
"היו""ר רוני בר-און","מה שנהגנו לעשות עד כה - המציעים, אחר-כך 20 דקות לליכוד, 10 דקות לעבודה, 8 דקות לשינוי, ולכל יתר הסיעות 5 דקות לכל סיעה."
"היו""ר רוני בר-און",הצעה אחרת?
דוד טל,"25 דקות ל""עם אחד""."
"היו""ר רוני בר-און","מי בעד ההצעה הראשונה?

ה צ ב ע ה

בעד - רוב

נגד - אין

נמנעים - אין

ההצעה למסגרת דיון משולב בהצעות להביע אי-אמון בממשלה, נתקבלה."
"היו""ר רוני בר-און","מי בעד ההצעה של 25 דקות לסיעת ""עם אחד""?"
דוד טל,"לא, אל תצביע."
"היו""ר רוני בר-און","תודה רבה, חבר הכנסת טל מושך את הצעתו."
דני יתום,למה הפסקת את ההליך? היית מקבל פה רוב.
"היו""ר רוני בר-און","תודה רבה, חברים. יש לנו סדר יום עמוס, ואי-אפשר יהיה בנסיבות העניין לקיים אותו אם תהיינה הפרעות.

 אני קובע אפוא שמסגרת הדיון תהיה דיון משולב בכל הצעות אי האמון, כאשר לאחר המציעים סיעת הליכוד תקבל 20 דקות, סיעת העבודה - 10 דקות, סיעת שינוי - 8 דקות, וכל יתר סיעות הבית - 5 דקות.

ב. בקשת היועץ המשפטי לממשלה לנטילת חסינותם של חברי הכנסת מיכאל גורולובסקי

ויחיאל חזן"
"היו""ר רוני בר-און","הנושא הבא על סדר היום הוא בקשת היועץ המשפטי לממשלה לנטילת חסינותם של חברי הכנסת מיכאל גורולובסקי ויחיאל חזן. חבר הכנסת יחיאל חזן פה, האם עורך הדין שלך נמצא פה?"
יחיאל חזן,"כן, עורך-דין אשר חן."
