header,body
,"משותפת חינוך-עובדים זרים - ילדי עובדים זרים במערכת החינוך



24
ועדת החינוך והתרבות
8.6.2004


הכנסת השש עשרה		
מושב שני					נוסח לא מתוקן


פרוטוקול 
 מישיבת הוועדה המשותפת של ועדת החינוך והתרבות - 245
והוועדה לעובדים זרים - 31
יום שלישי,י""ט בסיון התשס""ד (8.6.2004) שעה 09:30


סדר היום: ילדי עובדים זרים במערכת החינוך."
נכחו,"חברי הוועדה:	רן כהן – היו""ר
אילן שלגי –היו""ר	
	משה גפני
	יעקב מרגי
	מרינה סולודקין
	ניסן סלומינסקי
 אהוד ראצבי
	יוסי שריד

מוזמנים:	שר הפנים אברהם פורז
 עו""ד הילה טנא – היחידה להסכמים בינלאומיים, משרד המשפטים
 עו""ד עדי ביתן – הלשכה המשפטית, משרד הפנים
 עו""ד עירית ויסבלום – הלשכה המשפטית משרד הפנים
	ד""ר אילנה זיילר – מנהלת אגף א', מינהל פדגוגי, משרד החינוך
	ד""ר חגית מאיר – מפקחת מתאמת, המינהל הפדגוגי, משרד החינוך
 רינה יצחקי – מרצה במכון למורים ערביים בבית ברל, דוברת הועד הישראלי למען יוניסף
 גליה שיפמן – המחלקה לחינוך היסודי, עיריית ת""א-יפו יועצת ארגונית, מלווה מטעם העירייה את בתי הספר ביאליק-רוגוזין
 ענת כוהנה-עורקבי – מנהלת בית ספר ביאליק תל-אביב
	עו""ד אביבית ברקאי-אהרונוף – המועצה לשלום הילד
	נצ""מ זיוה אגמי כהן – ראש היחידה ללחימה בפשיעה, מנהלת ההגירה
 	עדנה אלטר דותב – מנהלת מסיל""ה
	ד""ר יוסי לוי – יועץ ועדת החינוך והתרבות


מנהלת הוועדה:	 יהודית גידלי

נרשם על-ידי:	חבר המתרגמים בע""מ




ילדי עובדים זרים במערכת החינוך"
"היו""ר אילן שלגי","בוקר טוב לכולם. אנחנו נמצאים בדיון משותף של ועדת החינוך והתרבות, והוועדה לעובדים זרים, חברי רן כהן ואנכי ננהל את הדיון לסרוגין ובמשותף."
"היו""ר רן כהן",ביוזמה משותפת של חבר הכנסת שלגי ושלי.
"היו""ר אילן שלגי","גבירותי ורבותי, אנחנו מתחילים בדיון, ולרשותנו שעה ורבע. אנחנו יודעים שעל פי חוק חינוך חובה חינם, כל ילד שגר בישראל למעלה שלושה חודשים זכאי, לחינוך חינם. החוק חל על ילדים מגיל 5 עד 16, באזורים מסוימים של הארץ גם גיל 3-4. וכבר מכאן אנחנו רואים, שתתכן קושיה באשר לילדים בגיל הרך ואלה שהם בני 16 ומעלה, כאשר הבעיות הן כמובן שונות. אנחנו יודעים, ונשמע היום, שמערכת החינוך כמובן קולטת את ילדי העובדים הזרים, יש לה קושי לאתר את אלה שאינם מגיעים אליה. החינוך שלהם כרוך בקשיים שמתחייבים מהסיטואציה של ילדים שהם מלאומים שונים ושפות שונות, נקלטו, נקלטים בארץ באורכי זמן שונים, עם הורים שלפעמים משתפים פעולה יותר ולפעמים פחות. יש כמובן גם חשיבות רבה בשאלה איך הם משתלבים עם הילדים הישראליים, ואיך מציגים את הנושא לילד הישראלי, איך מחנכים אותו להכיר ולהיות ביחד עם השונה וכמובן נכון גם לגבי חלקים בתוך החברה שלנו. וישנם מקומות בארץ, ונשמע על כך היום, שבהם יש ריכוז גבוה מאד של ילדי עובדים זרים, מאחר והמגורים של העובדים הזרים הם בדרך כלל מתרכזים באזורים מסוימים, ובתי הספר, בוודאי היסודיים וגני הילדים, הרישום אליהם הוא על פי אזור מגורים. אם לגבי הגיל הרך הקושי הוא של שהותם של ילדים רבים במעונות פרטיים במקרים רבים שמנוהלים על ידי עובדים או עובדות זרות עצמן, אין עליהם פיקוח, אנחנו לא יודעים מה מצב הבטיחות והתברואה, היות ואנחנו לא מסוגלים ללכת ולבדוק בכל מקום, וגם המדינה לא מסוגלת, אז כמובן שצריך לצאת מתוך הנחה שהמצב איננו טוב.

באשר לאלה שהם בגיל 16, והמדינה, כידוע, מממנת את חינוך החובה עד לגיל הזה, אז כמובן נוצר קושי, שנשמע עליו היום, איך בכל זאת משאירים את בני ה-16 שרוצים, שמסוגלים, איך מעודדים אותם להשאר במערכת ואיך גם מבאים חלק מהם לבחינות בגרות. וכמובן שלכאן נכנסות כל השאלות החוקתיות של מעמדם והחשש של ההורים שמא יתחקו אחריהם, שמא יגרשו אותם, דבר שהיה נכון תמיד אבל יותר בתקופה האחרונה, ואני מניח שמחברי הועדה לעובדים זרים אנחנו נשמע בנושא הזה דברים, אתם מכירים את הנושא הזה טוב, שר הפנים אמור להצטרף אלינו תוך כמה דקות ונשמע גם את עמדתו והתכניות שלו בעניין. יש כמובן גם בני 17, שרוצים להתגייס לצה""ל, ואיך מתיחסים לנושא הזה. אני מעביר אליך חבר הכנסת כהן."
"היו""ר רן כהן","תודה רבה. חבר הכנסת שלגי, ואורחים נכבדים, למען האמת יושב ראש ועדת החינוך נגע בנושאים העיקריים, אני אוסיף עליהם באמת רק דגשים על דברים שהוא ציין אבל בעיקר אתמקד בשתיים או שלוש נקודות שעדיין לא עלו ולעניות דעתי הם מאד משמעותיות. 

קודם כל גם אנחנו נתקלנו בכל הדיונים שבהם עסקנו, בקביעה של מה קורה עם ילדי העובדים הזרים החוקיים והבלתי חוקיים, עד גיל 5. מה קורה עם מסגרות הגנים. ביקרנו בגנים האלה, ראינו חלקם במצב שנראה מטופח, או ראוי יותר, חלקם במצב מאד קשה. ואעמוד על הבעיה של חוסר הבטחון של הילדים ושל המסגרות הללו, שהוא מאד בעיתי. אבל תקופה שניה היא באמת מה קורה לאחר גיל 16, באיזה אופן גבוה נוגעים, אנחנו הערכנו גם נערים כאלה שציינו בפנינו על כך שהם בכלל ישראלים לכל דבר. הם לא יודעים את השפה של ארצות מוצאם, כאשר הם לא יודעים איך נראית ארץ מוצאם, הם מתגאים עם המדינה ועם צה""ל והם רוצים להיות כאן ולשרת ולקבל אזרחות ומכאן עולה הסוגיה השניה ואשאל אותה באמת את שר הפנים, מה הם הפרמטרים שבהם אפשר בכל זאת לנהוג בנערים הללו, הנערות הללו, באופן שבו הם יוכלו באמת להתאזרח כאן ולקבל את ההזדמנות שלהם, על פי הרגשתם שהם ישראלים לכל דבר. אגב, מדובר במספרים מאד מאד קטנים, בדקנו את העניין הזה היטב היטב, אין פה שום סכנה הצפה של מדינת ישראל בנערים ונערות מן הסוג הזה.

הנושא השני שאני רוצה להדגיש, הוא הנושא של פחד והאימה וחוסר הבטחון שבו חיים הרבה מאד מבין הילדים עקב ההחלטה של ממשלת ישראל להחזיר למדינותיהם או לגרש, נקרא לזה, את העובדים הבלתי חוקיים. התלונות שאנחנו קיבלנו, והתמונות על תפיסה, ודרכי התפיסה והעובדה שבה משטרת ההגירה, נוגעת במצבים שיוצרים ללא ספק פחדים קשים ביותר, אצל הילדים הללו, עם חוויות מזעזעות בכל שעות היממה והלילה, ואיך מערכת החינוך מתמודדת עם הנושא הזה. איך אתם נותנים את המענה לילדים הללו, אנחנו מנסים, אגב, בכל כוחנו לפקח על משטרת ההגירה באופן כל כך הדוק, כדי שמצד אחד תוכל לקיים את עבודתה, אבל מהצד השני תנהג באופן אנושי כמו שראוי למדינת ישראל לנהוג, ולא להגיע למעשים ברוטליים, ואני חייב לומר שיש מעשים ברוטליים. והפחד הזה הוא פחד קיים.

הנושא השלישי, לגבי זכויות הילדים הללו. האם מתקיימים שני דברים. האם כל הצוות החינוכי, כל צוות בתי הספר מודעים לזכויות של הילדים הללו גם על פי חוקי מדינת ישראל וגם על פי אמנת ז'נבה. והאם הדבר הזה מוחדר לכל הציבור שעוסק בנושא הזה באופן שבו באמת הציבור גם ידע, מה הם הכללים ועל פי מה רוצים לנהוג, אם רוצים לנהוג נוהג נכון, בילדים וילדות הללו.

והסוגיה האחרונה שתעלה כאשר שר הפנים יגיע, זה הפרמטרים ותקוותם לאזרחות, ובכלל מחנכים, איך מחנכים ילדים, איך מגדלים ילדים בארץ על תנאי. הם יודעים בעצם שבאיזה שהוא שלב בחייהם הם אמורים להיות מגורשים או מוחזרים, אין להם תקווה, לכל אחד מאיתנו זה דבר בעל חשיבות עצומה לדעת שהוא גדל כאן, כדי להיות כאן אזרח, ומקים משפחה ולעתיד, איך מחנכים בעצם ילדים במצב שבו הילדים הם בעצם כאן על תנאי מבחינת הזמניות שלהם. אני רוצה להדגיש, שאנחנו בכל אופן בועדה, אני מניח שגם בועדה שלך, אנחנו מפרידים הפרדה גמורה ומוחלטת בין מצב הבלתי חוקיות לבין מצב של זכויות הילדים. זכויות הילדים הם זכויות מוחלטות ומלאות ואנחנו חסרי פשרות על זכויותיהם, גם למרות שהוריהם נכנסו לארץ באופן בלתי חוקי, או מתקיימים כאן באופן בלתי חוקי, בענין הזה אין לנו פשרות כיוון שאנחנו רוצים להיות מה שאנחנו מבחינה תרבותית ומבחינה מוסרית. ואנחנו רוצים לדעת גם לטובתנו, כאשר הילדים הללו ישארו בארץ, אם ישארו בארץ, שיהיו אזרחים טובים ואם יחזור לארצותיהם אז יותר טוב שיהיו שגרירים טובים מאשר יהיו שגרירים שמוציאים לעז על המדינה, ולכן הסוגיות הללו הם סוגיות מאד מאד חשובות."
"היו""ר אילן שלגי","אני מבקש שנשמע נציגה של משרד החינוך וחברי הכנסת שירצו להתייחס, איך המשרד רואה ועושה. אני גם רוצה לשמוע את מנהלת בית הספר ביאליק."
חגית מאיר,"קודם כל, משרד החינוך מחויב על ביצועו של חוק חינוך חובה על ידי חוק לימוד חובה התש""ט-1949. לשון החוק היא לשון שמאד מתקדמת לזמנה. לשון החוק מתייחסת לילד, לנער, לאדם, בלא תלות במעמדו האזרחי. זאת אומרת, כל בן אנוש חל עליו החוק הזה. לאור זאת משרד החינוך מקיים את חובתו והיו אלינו פניות, בזמן האחרון, מכל מיני ועדות נכבדות שנועדו לנסיון למצוא את מספר הילדים המצויים, אנחנו אין לנו מידע על זה. שכן לצורך קיום החוק הזה, המשרד לא מקיים שום מאגר מידע, ולא אוסף שום מידע. ילד שמופיע להרשם, מתקבל. כמובן בשל מעמד הלא חוקי אנחנו לא יכולים לדואג לביקור סדיר של ילדים, שלא קיימים ברשימות של מרשם האוכלוסין. כך כל ילד שמתיצב לקבלת חינוך מקבל חינוך בין גילאי חינוך חובה. זו עמדתו של משרד החינוך. החינוך בגילאים האלה נעשה תוך הקפדה על זכויות התלמיד, אני יכולה לציין שהדברים דואגים אפילו לתרגם חומר למידה בשעורי בית לשפות השונות של האנשים שבאו, ספרדית, אוקראינית וכו', כדי שלהורים תהיה יכולת מעקב אחרי לימוד ילדיהם. זאת אומרת, הדברים נעשים מתוך שימת לב, כאמור עניין של שימת לב. ההתמודדות הבין תרבותית, ידובר בזה, אני יכולה רק להגיד ברמת המערכת כל החינוך היסודי עומד בסימן תכנית לימודים שנקראת תקשורת בין אישית, שעוסקת בכל ההיבטים של התנהגות אדם בחברה, ובין השאר יש שם פרק מאד נרחב של קבלת השונה. וקבלת השונה מתייחסת לשונות על כל רקע שהוא, כולל על הרקע אפשר להגיד, האזרחי או המעמד בארץ. זה באשר לחוק חינוך חובה.

מה שקורה אחר כך, יש לנו פה בעיה. מעל גיל 16 למעשה חוק חינוך חובה לא חל. ידוע לנו, אנחנו קיימנו ישיבה לפני ישיבה זו, עם הממונה על חוק זכויות התלמיד במערכת החינוך, שבדרך כלל תלונות וטענות על כל מיני מקרים חריגים מן הסוג הזה מגיעות אליה. הרי יש בעיה קודם כל של תשלום שכר הלימוד, שהרי שכר הלימוד באופן נורמלי ממומן לאזרחי ישראל באמצעות הביטוח הלאומי. מה שקרה לגבי אותם תלמידים שממשיכים ללמוד מעבר לגיל 16, הרשויות ספגו את ההוצאה. זאת אומרת, לא עלתה תלונה אחת במשרד החינוך על ילד מילדי עובדים זרים שמבקש ללמוד ועלתה בעיה של תשלום שכר הלימוד. היות ששוב, ציינו שם, שהמספר הוא לא גדול. הרי לא מדובר במספר עצום של ילדים, ספגו את העלויות אט אט, אם מתעוררות בעיות בבחינות הבגרות, הבעיות הן בעיות מינהליות. ממה הן נובעות, לצורך בחינת בגרות צריך מסמך מזהה, איזה שהוא זיהוי חד חד ערכי. כאשר לילד יש דרכון, ודרכון תקף, אין לנו בעיה. אבל הבעיה מתחילה כאשר יש לנו ילדים חסרי מסמך מזהה בר תוקף, כאן צצות בעיות מסוימות. בדרך כלל המערכת כיום השתדלה לפתור אותם בעזרת אלתורים שונים, בעזרת הצמדת מספר פיקטיבי לתלמיד, איזה שהוא מספר זיהוי פיקטיבי. כמובן שמתעוררת הבעיה שקשה מאד לשייך תלמיד פלוני למספר אלמוני, מה שקיים אצל כל אדם שיש לו מסמך מזהה בר תוקף. אנחנו שוב, זוהי בעיה שאנחנו משתדלים להסביר מן הבחינה המנהלית, למצוא איזו שהיא דרך לזיהוי חד חד ערכי של התלמיד, שזו הבעיה לגבי בחינות הבגרות."
"היו""ר אילן שלגי","אני מבקש לשמוע את מנהלת בית הספר ביאליק, הגב' ענת כוהנה. אני מבין שלמעלה מ-50% מהתלמידים הם ילדי עובדים זרים."
ענת כוהנה-עורקבי,"בוקר טוב לכולם. בית ספר ביאליק שוכן בדרום תל אביב, אני חושבת שבית ספר ביאליק הוא היחיד ומיוחד בארץ, מבחינת הדמוגרפיה שלו. אחוז התלמידים ילדי מהגרי עבודה, אנחנו נשתדל להשתמש במושג הזה, כי עבודה זרה, ילדי עובדים זרים, המושג של עבודה זרה קצת עם קונוטציה שלילית, ואנחנו נשתמש בילדי מהגרי עבודה, הם כ-50% מילדי בית הספר."
